model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,total_positives,TP,FP,TPm,FPm,FPiou
filternet,chemistry_floor0,0.25,100,0.5,0.75,0.5,0.38,0.5,1,135,54,11,9,2,39
tasknet,chemistry_floor0,0.5,10,0.5,0.75,0.5,0.38,0.5,0,192,40,11,0,0,24
tasknet,chemistry_floor0,0.5,10,0.5,0.75,0.5,0.38,0.5,1,135,26,7,1,0,68
filternet,chemistry_floor0,0.5,10,0.5,0.75,0.5,0.38,0.5,0,192,29,9,0,0,11
filternet,chemistry_floor0,0.5,10,0.5,0.75,0.5,0.38,0.5,1,135,37,13,0,0,12
tasknet,chemistry_floor0,0.5,30,0.5,0.75,0.5,0.38,0.5,0,192,48,15,0,0,31
tasknet,chemistry_floor0,0.5,30,0.5,0.75,0.5,0.38,0.5,1,135,29,9,1,0,80
filternet,chemistry_floor0,0.5,30,0.5,0.75,0.5,0.38,0.5,0,192,52,14,2,0,15
filternet,chemistry_floor0,0.5,30,0.5,0.75,0.5,0.38,0.5,1,135,44,10,2,0,19
tasknet,chemistry_floor0,0.5,50,0.5,0.75,0.5,0.38,0.5,0,192,50,15,0,0,31
tasknet,chemistry_floor0,0.5,50,0.5,0.75,0.5,0.38,0.5,1,135,30,9,1,0,81
filternet,chemistry_floor0,0.5,50,0.5,0.75,0.5,0.38,0.5,0,192,60,10,3,0,23
filternet,chemistry_floor0,0.5,50,0.5,0.75,0.5,0.38,0.5,1,135,58,12,2,0,27
tasknet,chemistry_floor0,0.5,100,0.5,0.75,0.5,0.38,0.5,0,192,50,15,0,0,31
tasknet,chemistry_floor0,0.5,100,0.5,0.75,0.5,0.38,0.5,1,135,30,9,1,0,81
filternet,chemistry_floor0,0.5,100,0.5,0.75,0.5,0.38,0.5,0,192,55,7,5,0,24
filternet,chemistry_floor0,0.5,100,0.5,0.75,0.5,0.38,0.5,1,135,67,29,13,2,47
tasknet,chemistry_floor0,0.75,10,0.5,0.75,0.5,0.38,0.5,0,192,40,11,0,0,24
tasknet,chemistry_floor0,0.75,10,0.5,0.75,0.5,0.38,0.5,1,135,26,7,1,0,68
filternet,chemistry_floor0,0.75,10,0.5,0.75,0.5,0.38,0.5,0,192,40,8,0,0,11
filternet,chemistry_floor0,0.75,10,0.5,0.75,0.5,0.38,0.5,1,135,36,5,1,0,9
tasknet,chemistry_floor0,0.75,30,0.5,0.75,0.5,0.38,0.5,0,192,48,15,0,0,31
tasknet,chemistry_floor0,0.75,30,0.5,0.75,0.5,0.38,0.5,1,135,29,9,1,0,80
filternet,chemistry_floor0,0.75,30,0.5,0.75,0.5,0.38,0.5,0,192,47,10,2,1,20
filternet,chemistry_floor0,0.75,30,0.5,0.75,0.5,0.38,0.5,1,135,53,15,3,0,13
tasknet,chemistry_floor0,0.75,50,0.5,0.75,0.5,0.38,0.5,0,192,50,15,0,0,31
tasknet,chemistry_floor0,0.75,50,0.5,0.75,0.5,0.38,0.5,1,135,30,9,1,0,81
filternet,chemistry_floor0,0.75,50,0.5,0.75,0.5,0.38,0.5,0,192,62,11,2,0,20
filternet,chemistry_floor0,0.75,50,0.5,0.75,0.5,0.38,0.5,1,135,59,10,6,1,30
tasknet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,0,192,50,15,0,0,31
tasknet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,1,135,30,9,1,0,81
filternet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,0,192,73,9,7,1,30
filternet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,1,135,69,18,14,0,37
tasknet,house_matteo,0.25,10,0.5,0.75,0.5,0.38,0.5,0,88,58,9,0,0,7
tasknet,house_matteo,0.25,10,0.5,0.75,0.5,0.38,0.5,1,155,32,1,0,0,10
filternet,house_matteo,0.25,10,0.5,0.75,0.5,0.38,0.5,0,88,59,3,0,0,3
filternet,house_matteo,0.25,10,0.5,0.75,0.5,0.38,0.5,1,155,45,6,0,0,13
tasknet,house_matteo,0.25,30,0.5,0.75,0.5,0.38,0.5,0,88,60,12,0,2,11
tasknet,house_matteo,0.25,30,0.5,0.75,0.5,0.38,0.5,1,155,55,2,2,0,23
filternet,house_matteo,0.25,30,0.5,0.75,0.5,0.38,0.5,0,88,62,3,0,0,3
filternet,house_matteo,0.25,30,0.5,0.75,0.5,0.38,0.5,1,155,93,7,7,0,24
tasknet,house_matteo,0.25,50,0.5,0.75,0.5,0.38,0.5,0,88,60,13,0,2,13
tasknet,house_matteo,0.25,50,0.5,0.75,0.5,0.38,0.5,1,155,58,3,2,0,24
filternet,house_matteo,0.25,50,0.5,0.75,0.5,0.38,0.5,0,88,65,4,1,0,9
filternet,house_matteo,0.25,50,0.5,0.75,0.5,0.38,0.5,1,155,104,4,9,0,22
tasknet,house_matteo,0.25,100,0.5,0.75,0.5,0.38,0.5,0,88,60,13,0,2,13
tasknet,house_matteo,0.25,100,0.5,0.75,0.5,0.38,0.5,1,155,58,3,2,0,24
filternet,house_matteo,0.25,100,0.5,0.75,0.5,0.38,0.5,0,88,71,14,6,1,12
filternet,house_matteo,0.25,100,0.5,0.75,0.5,0.38,0.5,1,155,110,9,18,0,38
tasknet,house_matteo,0.5,10,0.5,0.75,0.5,0.38,0.5,0,88,58,9,0,0,7
tasknet,house_matteo,0.5,10,0.5,0.75,0.5,0.38,0.5,1,155,32,1,0,0,10
filternet,house_matteo,0.5,10,0.5,0.75,0.5,0.38,0.5,0,88,58,3,0,0,1
filternet,house_matteo,0.5,10,0.5,0.75,0.5,0.38,0.5,1,155,47,6,0,0,12
tasknet,house_matteo,0.5,30,0.5,0.75,0.5,0.38,0.5,0,88,60,12,0,2,11
