relabeling,rescoring,suppression,model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,total_positives,TP,FP,TPm,FPm,FPiou
1,1,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,124,59,4,0,0,7
1,1,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,111,56,14,3,0,14
1,1,1,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,124,59,4,0,0,7
1,1,1,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,111,56,14,3,0,14
0,0,0,tasknet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,124,63,20,0,1,8
0,0,0,tasknet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,111,37,4,0,0,25
0,0,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,124,69,25,0,1,20
0,0,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,111,42,5,0,0,42
0,0,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,124,66,25,0,1,13
0,0,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,111,41,5,0,0,21
0,1,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,124,75,27,0,2,18
0,1,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,111,44,6,3,0,35
0,1,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,124,74,27,0,2,14
0,1,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,111,43,6,3,0,31
1,0,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,124,59,5,0,0,4
1,0,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,111,60,12,1,0,20
1,0,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,124,58,4,0,0,4
1,0,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,111,60,12,1,0,20
1,1,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,124,63,6,0,0,8
1,1,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,111,62,17,5,0,32
1,1,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,124,62,5,0,0,8
1,1,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,111,62,17,5,0,31
0,0,0,tasknet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,124,63,20,0,1,8
0,0,0,tasknet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,111,37,4,0,0,26
0,0,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,124,69,25,0,1,20
0,0,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,111,42,5,0,0,43
0,0,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,124,66,25,0,1,11
0,0,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,111,42,5,0,0,21
0,1,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,124,77,29,1,6,50
0,1,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,111,49,6,6,1,33
0,1,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,124,76,29,1,6,44
0,1,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,111,49,6,6,1,32
1,0,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,124,63,3,0,0,3
1,0,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,111,63,10,1,0,17
1,0,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,124,62,3,0,0,2
1,0,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,111,63,10,1,0,17
1,1,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,124,70,4,1,0,19
1,1,0,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,111,71,13,10,0,42
1,1,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,124,69,4,1,0,17
1,1,1,filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,111,71,13,10,0,41
0,0,0,tasknet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,124,54,14,0,1,4
