relabeling,rescoring,suppression,model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,AP,total_positives,TP,FP
0,0,0,tasknet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.23020809119493874,111,36,27
0,0,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.4630097250760258,124,67,38
0,0,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.2440437292864783,111,39,40
0,0,1,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.44437477149806,124,64,35
0,0,1,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.2754927617753075,111,39,22
0,1,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.42272827814371583,124,68,41
0,1,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.29355761763904753,111,42,19
0,1,1,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.4227748621648485,124,68,40
0,1,1,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.29355761763904753,111,42,19
1,0,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.44390669767755425,124,57,8
1,0,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.3815620420621341,111,55,24
1,0,1,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.44390669767755425,124,57,8
1,0,1,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.3815620420621341,111,55,24
1,1,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.42675451788355023,124,59,11
1,1,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.37436357344608595,111,57,30
1,1,1,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.42675451788355023,124,59,11
1,1,1,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.37436357344608595,111,57,30
0,0,0,tasknet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
0,0,0,tasknet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.24295042297597094,111,38,28
0,0,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.47239951953719783,124,69,46
0,0,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.26543964786022833,111,43,46
0,0,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.4563162834765868,124,66,39
0,0,1,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.2931724141036689,111,42,25
0,1,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.4895594671125618,124,75,47
0,1,0,filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.3075734734730526,111,46,42
